Demo
net.optimized_memory = 0 
mini_batch = 1, batch = 16, time_steps = 1, train = 0 

 seen 64, trained: 864 K-images (13 Kilo-batches_64) 
video file: in/GH010013.MP4
Video stream: 1920 x 1440 
Objects:


FPS:0.0 	 AVG_FPS:0.0
Objects:

Flowers: 96% 	(left_x:  919   top_y:  674   width:   30   height:   19)
Flowers: 93% 	(left_x:  415   top_y:  178   width:   38   height:   28)
Flowers: 71% 	(left_x:  872   top_y:  662   width:   26   height:   32)
Flowers: 68% 	(left_x: 1793   top_y:  534   width:   35   height:   28)
Flowers: 61% 	(left_x: 1265   top_y:  374   width:   17   height:   23)
Flowers: 34% 	(left_x: 1272   top_y:  377   width:   15   height:   24)

FPS:1.2 	 AVG_FPS:0.0

 cvWriteFrame 
Objects:

Over Ripe: 100% 	(left_x:  869   top_y:  176   width:   52   height:   48)
Perfect Pink: 100% 	(left_x:  566   top_y:  271   width:   40   height:   38)
Perfect Pink: 98% 	(left_x:  420   top_y:  213   width:   39   height:   33)
Perfect Pink: 93% 	(left_x:  390   top_y:  688   width:   30   height:   28)
Light Pink: 100% 	(left_x: 1566   top_y:  132   width:   59   height:   49)
Light Pink: 100% 	(left_x: 1809   top_y:  496   width:   45   height:   38)
Light Pink: 100% 	(left_x:  740   top_y:  110   width:   50   height:   48)
Light Pink: 100% 	(left_x:  157   top_y:  155   width:   63   height:   43)
Light Pink: 100% 	(left_x:   47   top_y: 1034   width:   35   height:   31)
Light Pink: 99% 	(left_x:  741   top_y:  176   width:   43   height:   49)
Light Pink: 99% 	(left_x:  624   top_y:  685   width:   20   height:   26)
Light Pink: 96% 	(left_x:  600   top_y:  686   width:   27   height:   26)
Light Pink: 96% 	(left_x:  603   top_y:  708   width:   27   height:   24)
Light Pink: 81% 	(left_x:   14   top_y:  997   width:   39   height:   30)
Light Pink: 65% 	(left_x:  592   top_y:  677   width:   27   height:   29)
Green: 100% 	(left_x: 1672   top_y:  336   width:   30   height:   24)
Green: 100% 	(left_x:  344   top_y:  692   width:   31   height:   31)
Green: 100% 	(left_x: 1412   top_y:  159   width:   35   height:   33)
Green: 100% 	(left_x: 1740   top_y:  242   width:   37   height:   31)
Green: 100% 	(left_x:  192   top_y:  127   width:   36   height:   32)
Green: 100% 	(left_x: 1311   top_y:  242   width:   20   height:   27)
Green: 100% 	(left_x: 1300   top_y:  193   width:   30   height:   31)
Green: 100% 	(left_x: 1706   top_y:  212   width:   34   height:   30)
Green: 100% 	(left_x: 1543   top_y:  114   width:   27   height:   36)
Green: 99% 	(left_x: 1351   top_y:  215   width:   25   height:   26)
Green: 98% 	(left_x: 1321   top_y:    1   width:   29   height:   23)
Green: 98% 	(left_x: 1260   top_y:   55   width:   42   height:   28)
Green: 98% 	(left_x: 1313   top_y:  113   width:   27   height:   26)
Green: 97% 	(left_x:  163   top_y:  126   width:   35   height:   32)
Green: 97% 	(left_x: 1275   top_y:  224   width:   26   height:   32)
Green: 97% 	(left_x: 1367   top_y:  178   width:   28   height:   30)
Green: 95% 	(left_x: 1469   top_y:   68   width:   33   height:   33)
Green: 94% 	(left_x: 1273   top_y:    8   width:   34   height:   26)
Green: 93% 	(left_x: 1609   top_y:   73   width:   33   height:   33)
Green: 91% 	(left_x: 1260   top_y:   86   width:   37   height:   26)
Green: 90% 	(left_x: 1316   top_y:   66   width:   29   height:   30)
Green: 86% 	(left_x: 1386   top_y:    0   width:   25   height:   15)
Green: 74% 	(left_x: 1259   top_y:   34   width:   41   height:   32)
Green: 54% 	(left_x: 1257   top_y:   96   width:   38   height:   31)
Buds: 100% 	(left_x: 1342   top_y:  299   width:   28   height:   39)
Buds: 100% 	(left_x: 1304   top_y:  533   width:   30   height:   25)
Buds: 100% 	(left_x:  229   top_y:  772   width:   24   height:   29)
Buds: 100% 	(left_x: 1156   top_y:  654   width:   31   height:   32)
Buds: 100% 	(left_x: 1548   top_y:  282   width:   33   height:   32)
Buds: 100% 	(left_x:  640   top_y:  668   width:   30   height:   30)
Buds: 100% 	(left_x:  946   top_y:  442   width:   13   height:   17)
Buds: 100% 	(left_x: 1359   top_y:  409   width:   33   height:   30)
Buds: 100% 	(left_x:  842   top_y:  695   width:   24   height:   31)
Buds: 100% 	(left_x: 1178   top_y:  715   width:   22   height:   25)
Buds: 100% 	(left_x:  790   top_y:  185   width:   23   height:   40)
Buds: 100% 	(left_x:  196   top_y:  742   width:   28   height:   39)
Buds: 100% 	(left_x: 1332   top_y:  442   width:   33   height:   22)
Buds: 100% 	(left_x: 1400   top_y:  125   width:   38   height:   34)
Buds: 100% 	(left_x: 1255   top_y:  341   width:   23   height:   23)
Buds: 100% 	(left_x:  257   top_y:  741   width:   28   height:   34)
Buds: 99% 	(left_x:  814   top_y:  706   width:   25   height:   33)
Buds: 99% 	(left_x:  910   top_y:  394   width:   18   height:   16)
Buds: 99% 	(left_x:  249   top_y:  782   width:   27   height:   29)
Buds: 99% 	(left_x:  809   top_y:  287   width:   24   height:   32)
Buds: 97% 	(left_x:  319   top_y:  758   width:   32   height:   36)
Buds: 96% 	(left_x: 1179   top_y:  701   width:   21   height:   24)
Buds: 95% 	(left_x:  787   top_y:  287   width:   29   height:   31)
Buds: 95% 	(left_x:  794   top_y:  673   width:   33   height:   25)
Buds: 91% 	(left_x:  804   top_y:  248   width:   20   height:   25)
Buds: 89% 	(left_x: 1243   top_y:  238   width:   25   height:   38)
Buds: 73% 	(left_x:  719   top_y:  174   width:   28   height:   36)
Flowers: 100% 	(left_x: 1067   top_y:  914   width:   22   height:   26)
Flowers: 100% 	(left_x: 1037   top_y:  940   width:   24   height:   25)
Flowers: 100% 	(left_x: 1064   top_y:  985   width:   23   height:   31)
Flowers: 100% 	(left_x: 1513   top_y: 1033   width:   24   height:   20)
Flowers: 100% 	(left_x:  879   top_y:  672   width:   24   height:   27)
Flowers: 100% 	(left_x: 1156   top_y:  440   width:   26   height:   27)
Flowers: 100% 	(left_x: 1103   top_y:  410   width:   24   height:   23)
Flowers: 100% 	(left_x: 1092   top_y:  966   width:   17   height:   32)
Flowers: 100% 	(left_x: 1843   top_y:  534   width:   36   height:   34)
Flowers: 100% 	(left_x:  670   top_y:  169   width:   31   height:   36)
Flowers: 100% 	(left_x:  353   top_y:  201   width:   38   height:   29)
Flowers: 100% 	(left_x: 1231   top_y:  312   width:   18   height:   28)
Flowers: 100% 	(left_x:  418   top_y:  181   width:   41   height:   30)
Flowers: 99% 	(left_x:  967   top_y:  715   width:   30   height:   22)
Flowers: 99% 	(left_x: 1201   top_y:  334   width:   24   height:   27)
Flowers: 99% 	(left_x: 1303   top_y:  454   width:   28   height:   28)
Flowers: 99% 	(left_x: 1025   top_y:  975   width:   29   height:   34)
Flowers: 99% 	(left_x:   11   top_y: 1044   width:   20   height:   26)
Flowers: 99% 	(left_x: 1166   top_y:  544   width:   27   height:   29)
Flowers: 99% 	(left_x: 1494   top_y: 1016   width:   24   height:   23)
Flowers: 99% 	(left_x: 1274   top_y:  380   width:   16   height:   24)
Flowers: 98% 	(left_x:  374   top_y:  177   width:   36   height:   23)
Flowers: 97% 	(left_x:  920   top_y:  675   width:   31   height:   19)
Flowers: 89% 	(left_x:  904   top_y:  681   width:   25   height:   33)
Flowers: 79% 	(left_x: 1245   top_y:  308   width:   23   height:   28)
Flowers: 68% 	(left_x:  914   top_y:  686   width:   26   height:   28)
Flowers: 52% 	(left_x: 1799   top_y:  538   width:   32   height:   28)
Flowers: 32% 	(left_x: 1212   top_y:  325   width:   18   height:   23)

FPS:2.2 	 AVG_FPS:0.0

 cvWriteFrame 
Objects:

Over Ripe: 100% 	(left_x:  875   top_y:  179   width:   49   height:   47)
Perfect Pink: 100% 	(left_x:  393   top_y:  689   width:   31   height:   32)
Perfect Pink: 99% 	(left_x:  568   top_y:  273   width:   43   height:   36)
Perfect Pink: 97% 	(left_x:  422   top_y:  216   width:   43   height:   34)
Light Pink: 100% 	(left_x: 1572   top_y:  135   width:   55   height:   48)
Light Pink: 100% 	(left_x: 1813   top_y:  499   width:   44   height:   36)
Light Pink: 100% 	(left_x:  160   top_y:  154   width:   67   height:   50)
Light Pink: 100% 	(left_x:  605   top_y:  709   width:   26   height:   25)
Light Pink: 99% 	(left_x:  625   top_y:  685   width:   19   height:   29)
Light Pink: 99% 	(left_x:  746   top_y:  116   width:   48   height:   47)
Buds: 67% , Light Pink: 98% 	(left_x:  738   top_y:  181   width:   37   height:   44)
Light Pink: 98% 	(left_x:   16   top_y:  996   width:   48   height:   34)
Light Pink: 96% 	(left_x:  598   top_y:  680   width:   28   height:   30)
Light Pink: 91% 	(left_x:   52   top_y: 1035   width:   36   height:   31)
Flowers: 73% , Light Pink: 50% 	(left_x:   41   top_y: 1037   width:   29   height:   33)
Green: 100% 	(left_x: 1673   top_y:  339   width:   29   height:   24)
Green: 100% 	(left_x:  183   top_y:  128   width:   36   height:   31)
Green: 100% 	(left_x: 1743   top_y:  245   width:   36   height:   30)
Green: 100% 	(left_x: 1416   top_y:  160   width:   34   height:   34)
Green: 100% 	(left_x:  348   top_y:  693   width:   29   height:   31)
Green: 100% 	(left_x: 1706   top_y:  215   width:   35   height:   30)
Green: 100% 	(left_x: 1263   top_y:   50   width:   42   height:   30)
Green: 100% 	(left_x: 1611   top_y:   75   width:   32   height:   32)
Green: 99% 	(left_x: 1304   top_y:  199   width:   27   height:   26)
Green: 98% 	(left_x: 1470   top_y:   67   width:   35   height:   36)
Green: 98% 	(left_x: 1324   top_y:    1   width:   30   height:   24)
Green: 97% 	(left_x: 1264   top_y:   85   width:   36   height:   24)
Green: 97% 	(left_x: 1366   top_y:  181   width:   30   height:   27)
Green: 96% 	(left_x: 1321   top_y:   71   width:   26   height:   27)
Green: 96% 	(left_x: 1316   top_y:  114   width:   27   height:   28)
Green: 94% 	(left_x: 1259   top_y:   97   width:   39   height:   33)
Green: 92% 	(left_x: 1284   top_y:  227   width:   23   height:   28)
Green: 89% 	(left_x: 1280   top_y:    8   width:   30   height:   25)
Green: 88% 	(left_x: 1354   top_y:  214   width:   26   height:   31)
Green: 85% 	(left_x: 1549   top_y:  119   width:   26   height:   34)
Green: 83% 	(left_x: 1315   top_y:  246   width:   20   height:   26)
Green: 78% 	(left_x: 1392   top_y:    0   width:   26   height:   20)
Green: 51% 	(left_x: 1321   top_y:  242   width:   19   height:   25)
Buds: 100% 	(left_x: 1308   top_y:  536   width:   30   height:   25)
Buds: 100% 	(left_x:  253   top_y:  782   width:   28   height:   32)
Buds: 100% 	(left_x: 1343   top_y:  302   width:   26   height:   36)
Buds: 100% 	(left_x: 1359   top_y:  413   width:   31   height:   33)
Buds: 100% 	(left_x: 1158   top_y:  656   width:   33   height:   32)
Buds: 100% 	(left_x:  229   top_y:  773   width:   23   height:   30)
Buds: 100% 	(left_x:  640   top_y:  668   width:   31   height:   32)
Buds: 100% 	(left_x: 1550   top_y:  284   width:   32   height:   31)
Buds: 100% 	(left_x:  847   top_y:  698   width:   22   height:   30)
Buds: 100% 	(left_x:  200   top_y:  744   width:   27   height:   39)
Buds: 100% 	(left_x:  810   top_y:  251   width:   19   height:   26)
Buds: 100% 	(left_x:  818   top_y:  708   width:   22   height:   32)
Buds: 100% 	(left_x:  949   top_y:  445   width:   11   height:   16)
Buds: 100% 	(left_x:  261   top_y:  741   width:   28   height:   36)
